Timestamp (ms),Pressure (PSI),Trigger
2146 ms ,14.19 PSI ,0
2163 ms ,14.19 PSI ,0
2180 ms ,14.19 PSI ,0
2197 ms ,14.19 PSI ,0
2213 ms ,14.19 PSI ,0
2231 ms ,14.19 PSI ,0
2247 ms ,14.19 PSI ,0
2265 ms ,14.19 PSI ,0
2281 ms ,14.19 PSI ,0
2298 ms ,14.19 PSI ,0
2315 ms ,14.19 PSI ,0
2332 ms ,14.19 PSI ,0
2350 ms ,14.19 PSI ,0
2366 ms ,14.19 PSI ,0
2383 ms ,14.19 PSI ,0
2400 ms ,14.19 PSI ,0
2417 ms ,14.19 PSI ,0
2434 ms ,14.19 PSI ,0
2451 ms ,14.19 PSI ,0
2467 ms ,14.19 PSI ,0
2485 ms ,14.19 PSI ,0
2501 ms ,14.19 PSI ,0
2519 ms ,14.19 PSI ,0
2535 ms ,14.19 PSI ,0
2552 ms ,14.19 PSI ,0
2569 ms ,14.19 PSI ,0
2586 ms ,14.19 PSI ,0
2603 ms ,14.19 PSI ,0
2620 ms ,14.19 PSI ,0
2637 ms ,14.19 PSI ,0
2654 ms ,14.19 PSI ,0
2671 ms ,14.19 PSI ,0
2688 ms ,14.19 PSI ,0
2705 ms ,14.19 PSI ,0
2721 ms ,14.19 PSI ,0
2739 ms ,14.19 PSI ,0
2755 ms ,14.19 PSI ,0
2772 ms ,14.19 PSI ,0
2789 ms ,14.19 PSI ,0
2806 ms ,14.19 PSI ,0
2823 ms ,14.19 PSI ,0
2840 ms ,14.19 PSI ,0
2856 ms ,14.19 PSI ,0
2874 ms ,14.19 PSI ,0
2891 ms ,14.19 PSI ,0
2908 ms ,14.19 PSI ,0
2925 ms ,14.19 PSI ,0
2941 ms ,14.19 PSI ,0
2959 ms ,14.19 PSI ,0
2975 ms ,14.19 PSI ,0
2993 ms ,14.19 PSI ,0
3009 ms ,14.19 PSI ,0
3026 ms ,14.19 PSI ,0
3043 ms ,14.19 PSI ,0
3060 ms ,14.19 PSI ,0
3077 ms ,14.19 PSI ,0
3094 ms ,14.19 PSI ,0
3110 ms ,14.19 PSI ,0
3128 ms ,14.19 PSI ,0
3145 ms ,14.19 PSI ,0
3162 ms ,14.19 PSI ,0
3179 ms ,14.19 PSI ,0
3195 ms ,14.19 PSI ,0
3213 ms ,14.19 PSI ,0
3229 ms ,14.19 PSI ,0
3247 ms ,14.19 PSI ,0
3263 ms ,14.19 PSI ,0
3280 ms ,14.19 PSI ,0
3297 ms ,14.19 PSI ,0
3314 ms ,14.19 PSI ,0
3331 ms ,14.19 PSI ,0
3348 ms ,14.19 PSI ,0
3364 ms ,14.19 PSI ,0
3382 ms ,14.19 PSI ,0
3398 ms ,14.19 PSI ,0
3416 ms ,14.19 PSI ,0
3433 ms ,14.19 PSI ,0
3449 ms ,14.19 PSI ,0
3467 ms ,14.19 PSI ,0
3483 ms ,14.19 PSI ,0
3501 ms ,14.19 PSI ,0
3517 ms ,14.19 PSI ,0
3534 ms ,14.19 PSI ,0
3551 ms ,14.19 PSI ,0
3568 ms ,14.19 PSI ,0
3585 ms ,14.19 PSI ,0
3602 ms ,14.19 PSI ,0
3618 ms ,14.19 PSI ,0
3636 ms ,14.19 PSI ,0
3653 ms ,14.19 PSI ,0
3670 ms ,14.19 PSI ,0
3687 ms ,14.19 PSI ,0
3703 ms ,14.19 PSI ,0
3721 ms ,14.19 PSI ,0
3737 ms ,14.19 PSI ,0
3755 ms ,14.19 PSI ,0
3771 ms ,14.19 PSI ,0
3788 ms ,14.19 PSI ,0
3805 ms ,14.19 PSI ,0
3822 ms ,14.19 PSI ,0
3838 ms ,14.19 PSI ,0
3856 ms ,14.19 PSI ,0
3872 ms ,14.19 PSI ,0
3890 ms ,14.19 PSI ,0
3906 ms ,14.19 PSI ,0
3923 ms ,14.19 PSI ,0
3941 ms ,14.19 PSI ,0
3957 ms ,14.19 PSI ,0
3975 ms ,14.19 PSI ,0
3991 ms ,14.19 PSI ,0
4008 ms ,14.19 PSI ,0
4025 ms ,14.19 PSI ,0
4042 ms ,14.19 PSI ,0
4059 ms ,14.19 PSI ,0
4076 ms ,14.19 PSI ,0
4092 ms ,14.19 PSI ,0
4110 ms ,14.19 PSI ,0
4126 ms ,14.19 PSI ,0
4144 ms ,14.19 PSI ,0
4160 ms ,14.19 PSI ,0
4177 ms ,14.19 PSI ,0
4195 ms ,14.19 PSI ,0
4211 ms ,14.19 PSI ,0
4229 ms ,14.19 PSI ,0
4245 ms ,14.19 PSI ,0
4262 ms ,14.19 PSI ,0
4279 ms ,14.19 PSI ,0
4296 ms ,14.19 PSI ,0
4313 ms ,14.19 PSI ,0
4330 ms ,14.19 PSI ,0
4346 ms ,14.19 PSI ,0
4364 ms ,14.19 PSI ,0
4380 ms ,14.19 PSI ,0
4398 ms ,14.19 PSI ,0
4414 ms ,14.19 PSI ,0
4431 ms ,14.19 PSI ,0
4448 ms ,14.19 PSI ,0
4465 ms ,14.19 PSI ,0
4483 ms ,14.19 PSI ,0
4499 ms ,14.19 PSI ,0
4516 ms ,14.19 PSI ,0
4533 ms ,14.19 PSI ,0
4550 ms ,14.19 PSI ,0
4567 ms ,14.19 PSI ,0
4584 ms ,14.19 PSI ,0
4600 ms ,14.19 PSI ,0
4618 ms ,14.19 PSI ,0
4634 ms ,14.19 PSI ,0
4652 ms ,14.19 PSI ,0
4668 ms ,14.19 PSI ,0
4685 ms ,14.19 PSI ,0
4703 ms ,14.19 PSI ,0
4719 ms ,14.19 PSI ,0
4737 ms ,14.19 PSI ,0
4753 ms ,14.19 PSI ,0
4770 ms ,14.19 PSI ,0
4787 ms ,14.19 PSI ,0
4804 ms ,14.19 PSI ,0
4820 ms ,14.19 PSI ,0
4838 ms ,14.19 PSI ,0
4854 ms ,14.19 PSI ,0
4872 ms ,14.19 PSI ,0
4888 ms ,14.19 PSI ,0
4905 ms ,14.19 PSI ,0
4922 ms ,14.19 PSI ,0
4939 ms ,14.19 PSI ,0
4957 ms ,14.19 PSI ,0
4973 ms ,14.19 PSI ,0
4990 ms ,14.19 PSI ,0
5007 ms ,14.19 PSI ,0
5024 ms ,14.19 PSI ,0
5041 ms ,14.19 PSI ,0
5058 ms ,14.19 PSI ,0
5074 ms ,14.19 PSI ,0
5092 ms ,14.19 PSI ,0
5108 ms ,14.19 PSI ,0
5126 ms ,14.19 PSI ,0
5142 ms ,14.19 PSI ,0
5159 ms ,14.19 PSI ,0
5176 ms ,14.19 PSI ,0
5193 ms ,14.19 PSI ,0
5211 ms ,14.19 PSI ,0
5227 ms ,14.19 PSI ,0
5244 ms ,14.19 PSI ,0
5261 ms ,14.19 PSI ,0
5278 ms ,14.19 PSI ,0
5295 ms ,14.19 PSI ,0
5312 ms ,14.19 PSI ,0
5328 ms ,14.19 PSI ,0
5346 ms ,14.19 PSI ,0
5362 ms ,14.19 PSI ,0
5380 ms ,14.19 PSI ,0
5396 ms ,14.19 PSI ,0
5413 ms ,14.19 PSI ,0
5430 ms ,14.19 PSI ,0
5447 ms ,14.19 PSI ,0
5464 ms ,14.19 PSI ,0
5481 ms ,14.19 PSI ,0
5498 ms ,14.19 PSI ,0
5515 ms ,14.19 PSI ,0
5532 ms ,14.19 PSI ,0
5549 ms ,14.19 PSI ,0
5566 ms ,14.19 PSI ,0
5582 ms ,14.19 PSI ,0
5600 ms ,14.19 PSI ,0
5616 ms ,14.19 PSI ,0
5634 ms ,14.19 PSI ,0
5650 ms ,14.19 PSI ,0
5667 ms ,14.19 PSI ,0
5684 ms ,14.19 PSI ,0
5701 ms ,14.19 PSI ,0
5718 ms ,14.19 PSI ,0
5735 ms ,14.19 PSI ,0
5752 ms ,14.19 PSI ,0
5769 ms ,14.19 PSI ,0
5786 ms ,14.19 PSI ,0
5803 ms ,14.19 PSI ,0
5820 ms ,14.19 PSI ,0
5836 ms ,14.19 PSI ,0
5854 ms ,14.19 PSI ,0
5870 ms ,14.19 PSI ,0
5888 ms ,14.19 PSI ,0
5904 ms ,14.19 PSI ,0
5921 ms ,14.19 PSI ,0
5938 ms ,14.19 PSI ,0
5955 ms ,14.19 PSI ,0
5971 ms ,14.19 PSI ,0
5989 ms ,14.19 PSI ,0
6006 ms ,14.19 PSI ,0
6023 ms ,14.19 PSI ,0
6040 ms ,14.19 PSI ,0
6056 ms ,14.19 PSI ,0
6074 ms ,14.19 PSI ,0
6090 ms ,14.19 PSI ,0
6108 ms ,14.19 PSI ,0
6124 ms ,14.19 PSI ,0
6141 ms ,14.19 PSI ,0
6158 ms ,14.19 PSI ,0
6175 ms ,14.19 PSI ,0
6192 ms ,14.19 PSI ,0
6209 ms ,14.19 PSI ,0
6225 ms ,14.19 PSI ,0
6243 ms ,14.19 PSI ,0
6259 ms ,14.19 PSI ,0
6277 ms ,14.19 PSI ,0
6294 ms ,14.19 PSI ,0
6310 ms ,14.19 PSI ,0
6328 ms ,14.19 PSI ,0
6344 ms ,14.19 PSI ,0
6362 ms ,14.19 PSI ,0
6378 ms ,14.19 PSI ,0
6395 ms ,14.19 PSI ,0
6412 ms ,14.19 PSI ,0
